,Unnamed: 0,Codigo,Nombre,Barrio,Comuna,Población,Departamento,Dirección,Street,Number,Street_Type,Street_Number,Number_partA,Number_partB,Dirección Geo,latitude,longitude
4485,4485,20010263,Tienda C,San Pablo,MANRIQUE,Medellin,Antioquia,CL 93B#35-21,CL 93B,35-21,CL,93B,35,21,CL 93B #35-21,6.2850560999999985,-75.54559569999998
4486,4486,20010264,Tienda Viki,Not Specified,MANRIQUE,Medellin,Antioquia,CL 93B#35-32,CL 93B,35-32,CL,93B,35,32,CL 93B #35-32,6.285096299999998,-75.54550640000001
4487,4487,20010534,Los Ochoa,Not Specified,MANRIQUE,Medellin,Antioquia,CR 24C#35A-7,CR 24C,35A-7,CR,24C,35A,7,CR 24C #35A-7,6.282381299999999,-75.5406007
4489,4489,20010723,Tienda Mi Fe,Not Specified,ARANJUEZ,Medellin,Antioquia,CR 57 A#83 B-45,CR 57 A,83 B-45,CR,57 A,83 B,45,CR 57A #83B-45,6.277906,-75.56548599999998
4490,4490,20010859,Lrgumbres Arturo,San Pablo,LA CANDELARIA,Medellin,Antioquia,CL 48D SUR#56-05,CL 48D SUR,56-05,CL,48D SUR,56,05,CL 48DSUR #56-05,6.2487789000000005,-75.56773050000001
4493,4493,20012558,Minimercado La Nueva Evolucion,Castilla,CASTILLA,Medellin,Antioquia,CL 95#71-01,CL 95,71-01,CL,95,71,01,CL 95 #71-01,6.2911804999999985,-75.57434659999998
4494,4494,20011967,Legumbreria Buen Precio,Campo Valdes N 1,ARANJUEZ,Medellin,Antioquia,CL 71#49-05,CL 71,49-05,CL,71,49,05,CL 71 #49-05,6.28263,-75.56714000000001
4495,4495,20013050,Tienda Mixta,Carpinelo,POPULAR,Medellin,Antioquia,CR 23 # 102C-34,CR 23 , 102C-34,CR,23 , 102C,34,CR 23 #102C-34,6.2924270999999985,-75.53797399999998
4499,4499,20006358,La Esquina Verde,El Raizal,ARANJUEZ,Medellin,Antioquia,CL 77 # 30A - 04,CL 77 , 30A - 04,CL,77 , 30A , 04,CL 77 #30A- 04,6.271424700000001,-75.56198690000001
4510,4510,20007191,San Ga Riel,Not Specified,SANTA CRUZ,Medellin,Antioquia,CR 49B#121-14,CR 49B,121-14,CR,49B,121,14,CR 49B #121-14,6.3043955999999985,-75.55108309999999
4511,4511,20007233,Ospi,El Playón De Los Comunero,SANTA CRUZ,Medellin,Antioquia,CR52 # 117-62,CR52 , 117-62,CR52,, 117,62,CR52 #117-62,6.307727900000001,-75.55523570000001
4512,4512,20007242,Granero El Tigre 2,La Francia,SANTA CRUZ,Medellin,Antioquia,CR 52 # 111-08,CR 52 , 111-08,CR,52 , 111,08,CR 52 #111-08,6.303115699999998,-75.55602250000003
4513,4513,20007331,El Milenazo Verduras,El Playón De Los Comunero,SANTA CRUZ,Medellin,Antioquia,CR 50B#123-37,CR 50B,123-37,CR,50B,123,37,CR 50B #123-37,6.306359899999999,-75.55256700000001
4514,4514,20007332,Tienda Mauro,Not Specified,SANTA CRUZ,Medellin,Antioquia,CR 50A#123-42,CR 50A,123-42,CR,50A,123,42,CR 50A #123-42,6.3061086999999985,-75.5523516
4515,4515,20007334,Mixta Ag,Not Specified,SANTA CRUZ,Medellin,Antioquia,CL 124#49B-93,CL 124,49B-93,CL,124,49B,93,CL 124 #49B-93,6.3062190000000005,-75.5515862
4516,4516,20007359,Tienda Jeyco,El Playón De Los Comunero,SANTA CRUZ,Medellin,Antioquia,CR 50#121-18,CR 50,121-18,CR,50,121,18,CR 50 #121-18,6.304957,-75.55200699999999
4517,4517,20007363,El Porton,Not Specified,SANTA CRUZ,Medellin,Antioquia,CR 50#121-29,CR 50,121-29,CR,50,121,29,CR 50 #121-29,6.3050850999999986,-75.5521593
4518,4518,20007378,4 Bocas,El Playón De Los Comunero,SANTA CRUZ,Medellin,Antioquia,CL 125#49-69,CL 125,49-69,CL,125,49,69,CL 125 #49-69,6.3062445999999985,-75.5499877
4519,4519,20007387,El Parche De Elkin,Not Specified,SANTA CRUZ,Medellin,Antioquia,CR 50C#125A-19,CR 50C,125A-19,CR,50C,125A,19,CR 50C #125A-19,6.307272599999999,-75.55281959999998
4520,4520,20007388,Tienda Arbelaez,El Playón De Los Comunero,SANTA CRUZ,Medellin,Antioquia,CL 124#49-42,CL 124,49-42,CL,124,49,42,CL 124 #49-42,6.305895700000001,-75.5506415
4521,4521,20009807,Salsamentaria Élite,Not Specified,ARANJUEZ,Medellin,Antioquia,CL 79#78-74,CL 79,78-74,CL,79,78,74,CL 79 #78-74,6.272580199999998,-75.55815809999999
4522,4522,20011065,La Chosa,Not Specified,SANTA CRUZ,Medellin,Antioquia,CL 125#50AA-08,CL 125,50AA-08,CL,125,50AA,08,CL 125 #50AA-08,6.307001899999999,-75.55190499999998
4523,4523,20007412,Tienda La Gran Esquina,La Avanzada,POPULAR,Medellin,Antioquia,CR 27 # 106 B B -17,CR 27 , 106 B B -17,CR,27 , 106 B B ,17,CR 27 #106BB-17,6.2942933,-75.5391738
4593,4593,20006733,Tienda Panaderia La Mona,Popular   1,SANTA CRUZ,Medellin,Antioquia,CL 105 # 42D - 25,CL 105 , 42D - 25,CL,105 , 42D , 25,CL 105 #42D- 25,6.2944608,-75.5515648
4594,4594,20006931,Tienda,Versalles   1,EL POBLADO,Medellin,Antioquia,CL 68 #28-79,CL 68 ,28-79,CL,68 ,28,79,CL 68 #28-79,6.2028791,-75.572642
4595,4595,20006417,Tienda El Filito,La Cruz,Comuna 3,Medellin,Not Specified,CR 25 # 79 C  03,CR 25 , 79 C  03,CR,25 , 79 C  03,,CR 25 #79C03,,
4596,4596,20006525,Kratoz,Not Specified,MANRIQUE,Medellin,Antioquia,CL 71B#24BD-202,CL 71B,24BD-202,CL,71B,24BD,202,CL 71B #24BD-202,6.2666149,-75.5403443
4597,4597,20006390,Tienda Miguel,La Cruz,MANRIQUE,Medellin,Antioquia,CR 25#75C-18,CR 25,75C-18,CR,25,75C,18,CR 25 #75C-18,6.2696619999999985,-75.5389112
4598,4598,20006173,Los Churros,San Pablo,MANRIQUE,Medellin,Antioquia,CL 89#36AA-36,CL 89,36AA-36,CL,89,36AA,36,CL 89 #36AA-36,6.2812101999999985,-75.54627579999999
4599,4599,20006902,Ester,San Pablo,MANRIQUE,Medellin,Antioquia,CL 93A#34A-78,CL 93A,34A-78,CL,93A,34A,78,CL 93A #34A-78,6.284592900000001,-75.54776109999999
4600,4600,20006983,Tienda Y Variedades,Versalles   1,EL POBLADO,Medellin,Antioquia,CR 34#68-123,CR 34,68-123,CR,34,68,123,CR 34 #68-123,6.197542700000001,-75.5588351
4601,4601,20006474,La Tienda De Dario,Manrique Oriental,MANRIQUE,Medellin,Antioquia,CR 35#78-09,CR 35,78-09,CR,35,78,09,CR 35 #78-09,6.2699794,-75.54598349999998
4602,4602,20007154,Tienda Jayber,La Frontera,SANTA CRUZ,Medellin,Antioquia,CL 122#50B-101,CL 122,50B-101,CL,122,50B,101,CL 122 #50B-101,6.305689,-75.55382
4603,4603,20006401,La Reja Verde,Manrique Oriental,MANRIQUE,Medellin,Antioquia,CL 71#32-08,CL 71,32-08,CL,71,32,08,CL 71 #32-08,6.2654888999999985,-75.5449434
4604,4604,20006392,La Union,La Cruz,MANRIQUE,Medellin,Antioquia,CR 25#77-140,CR 25,77-140,CR,25,77,140,CR 25 #77-140,6.2697458,-75.53989370000001
4605,4605,20006362,Helados Lady,El Raizal,MANRIQUE,Medellin,Antioquia,CR 33#71B-14,CR 33,71B-14,CR,33,71B,14,CR 33 #71B-14,6.2671712999999984,-75.5452536
4606,4606,20006859,Granero El Diamante,Popular   2,POPULAR,Medellin,Antioquia,CR 46#107B-44,CR 46,107B-44,CR,46,107B,44,CR 46 #107B-44,6.296714,-75.55067559999998
4607,4607,20006750,Canausal,Not Specified,POPULAR,Medellin,Antioquia,CR 38#95A-03,CR 38,95A-03,CR,38,95A,03,CR 38 #95A-03,6.2862608,-75.5476407
4608,4608,20006501,La Competidora,Carpinelo,POPULAR,Medellin,Antioquia,CR 23 # 99 B- 109,CR 23 , 99 B- 109,CR,23 , 99 B, 109,CR 23 #99B- 109,6.288148400000001,-75.53832170000001
4609,4609,20006691,La Amistad,Popular   1,POPULAR,Medellin,Antioquia,CR 42C # 107 A 39,CR 42C , 107 A 39,CR,42C , 107 A 39,,CR 42C #107A39,6.2954504999999985,-75.5485343
4610,4610,20006491,Puertas Verdes,Manrique Oriental,MANRIQUE,Medellin,Antioquia,CL 75C#36A-05,CL 75C,36A-05,CL,75C,36A,05,CL 75C #36A-05,6.2694060999999985,-75.54693780000001
4611,4611,20006348,Granero Y Licores Villaneda,El Raizal,MANRIQUE,Medellin,Antioquia,CL 72#30-244,CL 72,30-244,CL,72,30,244,CL 72 #30-244,6.268072,-75.5487165
4612,4612,20006398,Maria Auxiliauxiliadora,El Raizal,MANRIQUE,Medellin,Antioquia,CR 30B#79-25,CR 30B,79-25,CR,30B,79,25,CR 30B #79-25,6.270785900000001,-75.54425309999998
