,Unnamed: 0,Codigo,Nombre,Barrio,Comuna,Población,Departamento,Dirección,Street,Number,Street_Type,Street_Number,Number_partA,Number_partB,Dirección Geo,latitude,longitude
5032,5032,20000170,Variedades Mekatos Market,Flora Industrial,COMUNA 4,Cali,Valle del Cauca,CR 5 NORTE # 60 N - 29,CR 5 NORTE , 60 N - 29,CR,5 NORTE , 60 N , 29,CR 5NORTE #60N- 29,3.4826992999999993,-76.5025311
5033,5033,20000171,Tienda Mixta,Not Specified,COMUNA 3,Cali,Valle del Cauca,CR 1 B # 57 - 111 CONJ R  BL 6,CR 1 B , 57 - 111 CONJ R  BL 6,CR,1 B , 57 , 111 CONJ R  BL 6,CR 1B #57- 111 CONJ R  BL 6,3.4516467000000004,-76.53198540000001
5034,5034,20000175,Licores Daza,Torres De Comfandi,Comuna 5,Cali,Not Specified,CR 1 B # 57 - 34 CONJ I BL 8,CR 1 B , 57 - 34 CONJ I BL 8,CR,1 B , 57 , 34 CONJ I BL 8,CR 1B #57- 34 CONJ I BL 8,,
5035,5035,20000181,Tienda Mixta Barranquilla,Parques De Barranquilla,COMUNA 5,Cali,Valle del Cauca,CR 1 C # 61 B -  02,CR 1 C , 61 B -  02,CR,1 C , 61 B ,  02,CR 1C #61B-  02,3.4757752,-76.49459209999998
5036,5036,20000183,Tienda Jc,Parques De Barranquilla,COMUNA 5,Cali,Valle del Cauca,CR 1 B 1 # 61 - 68,CR 1 B 1 , 61 - 68,CR,1 B 1 , 61 , 68,CR 1B1 #61- 68,3.4769702000000007,-76.4960691
5037,5037,20000185,Tienda Que Me Llevo,Not Specified,COMUNA 5,Cali,Valle del Cauca,CR 1 J # 59 - 115,CR 1 J , 59 - 115,CR,1 J , 59 , 115,CR 1J #59- 115,3.4711077000000006,-76.49539519999998
5038,5038,20000194,Tienda La Sevillana,Brisas De Los Andes,COMUNA 5,Cali,Valle del Cauca,CL 59 C # 2 C - 93 LOC 1,CL 59 C , 2 C - 93 LOC 1,CL,59 C , 2 C , 93 LOC 1,CL 59C #2C- 93 LOC 1,3.4706038999999995,-76.49768279999998
5039,5039,20000199,Tienda Angel,Parques De Barranquilla,COMUNA 5,Cali,Valle del Cauca,CR 1 C 1 # 61 A - 68,CR 1 C 1 , 61 A - 68,CR,1 C 1 , 61 A , 68,CR 1C1 #61A- 68,3.4762303999999995,-76.49558590000001
5040,5040,20000210,Tienda Nn6,Comfenalco,COMUNA 3,Cali,Valle del Cauca,CR 1 C N # 82 - 62,CR 1 C N , 82 - 62,CR,1 C N , 82 , 62,CR 1CN #82- 62,3.4479676,-76.53595859999999
5041,5041,20000212,Tienda Nn7,Comfenalco,COMUNA 3,Cali,Valle del Cauca,CR 1 A N # 73 - 80,CR 1 A N , 73 - 80,CR,1 A N , 73 , 80,CR 1AN #73- 80,3.4516467000000004,-76.53198540000001
5042,5042,20000214,Tienda Nn9,Comfenalco,COMUNA 3,Cali,Valle del Cauca,CR 1 HN # 77 - 82,CR 1 HN , 77 - 82,CR,1 HN , 77 , 82,CR 1HN #77- 82,3.4516467000000004,-76.53198540000001
5043,5043,20000215,Tienda Giret,Paso Del Comercio,COMUNA 6,Cali,Valle del Cauca,DG 7 N # 71 219,DG 7 N , 71 219,DG,7 N , 71 219,,DG 7N #71219,3.493332,-76.49028500000001
5044,5044,20000218,Tienda Andrea,Brisas De Los Andes,COMUNA 5,Cali,Valle del Cauca,CR 1 D 2 # 56 - 171,CR 1 D 2 , 56 - 171,CR,1 D 2 , 56 , 171,CR 1D2 #56- 171,3.4706038999999995,-76.49768279999998
5045,5045,20000220,Quesera La 55,Brisas De Los Andes,COMUNA 5,Cali,Valle del Cauca,CR 2 # 55 - 23,CR 2 , 55 - 23,CR,2 , 55 , 23,CR 2 #55- 23,3.4706038999999995,-76.49768279999998
5046,5046,20000222,Tienda Simoncho,Salomia,COMUNA 4,Cali,Valle del Cauca,CR 1 D BIS # 46 A - 57,CR 1 D BIS , 46 A - 57,CR,1 D BIS , 46 A , 57,CR 1DBIS #46A- 57,3.4700703,-76.5064537
